Electric Subregion,lb CO2/ MWh,lb CH4/ MWh,lb N2O/ MWh,lb CO2e/MWh,t CO2e / kWh
United States - AKGD,"1,072.3",0.077,0.011,"1,077.5",0.0004887
United States - AKMS,503.1,0.023,0.004,504.9,0.0002290
United States - AZNM,"1,043.6",0.079,0.012,"1,049.2",0.0004758
United States - CAMX,527.9,0.033,0.004,529.9,0.0002403
United States - ERCT,"1,009.2",0.076,0.011,"1,014.4",0.0004600
United States - FRCC,"1,011.7",0.075,0.010,"1,016.6",0.0004610
United States - HIMS,"1,152.0",0.095,0.015,"1,158.8",0.0005256
United States - HIOA,"1,662.9",0.181,0.028,"1,675.8",0.0007600
United States - MROE,"1,668.2",0.156,0.026,"1,679.8",0.0007618
United States - MROW,"1,238.8",0.115,0.020,"1,247.6",0.0005658
United States - NEWE,558.2,0.090,0.012,564.0,0.0002558
United States - NWPP,651.2,0.061,0.009,655.4,0.0002972
United States - NYCW,635.8,0.022,0.003,637.2,0.0002890
United States - NYLI,"1,178.3",0.126,0.016,"1,186.2",0.0005380
United States - NYUP,294.7,0.021,0.003,296.1,0.0001343
United States - RFCE,758.2,0.050,0.009,762.1,0.0003456
United States - RFCM,"1,272.0",0.067,0.018,"1,279.0",0.0005801
United States - RFCW,"1,243.4",0.108,0.019,"1,251.8",0.0005677
United States - RMPA,"1,367.8",0.137,0.020,"1,377.2",0.0006246
United States - SPNO,"1,412.4",0.149,0.022,"1,422.7",0.0006452
United States - SPSO,"1,248.3",0.095,0.015,"1,255.1",0.0005692
United States - SRMV,838.9,0.050,0.007,842.2,0.0003820
United States - SRMW,"1,612.6",0.082,0.026,"1,622.4",0.0007358
United States - SRSO,"1,089.4",0.087,0.013,"1,095.4",0.0004968
United States - SRTV,"1,185.4",0.093,0.017,"1,192.8",0.0005409
United States - SRVC,805.3,0.067,0.011,810.3,0.0003675
Albania,15.44,0.0055,0.0011,15.91,0.0000072
Algeria,1225.98,0.0333,0.0035,1227.86,0.0005569
Angola,859.95,0.0295,0.0060,862.48,0.0003911
Argentina,859.95,0.0126,0.0022,860.92,0.0003904
Armenia,271.22,0.0209,0.0022,272.40,0.0001235
Aruba,1367.10,0.0820,0.0163,1374.01,0.0006231
Australia - New South Wales & ACT,1799.07,0.0223,0.0284,1808.10,0.0008200
Australia - Northern Territory,1402.17,0.0223,0.0284,1411.20,0.0006400
Australia - Queensland,1754.97,0.0223,0.0284,1764.00,0.0008000
Australia - South Australia,1115.52,0.0223,0.0284,1124.55,0.0005100
Australia - Tasmania,409.92,0.0223,0.0284,418.95,0.0001900
Australia - Victoria,2350.32,0.0223,0.0284,2359.35,0.0010700
Australia - Western Australia,1534.47,0.0223,0.0284,1543.50,0.0007000
Australia - Country Average,1754.97,0.0223,0.0284,1764.00,0.0008000
Austria,474.08,0.0084,0.0046,475.66,0.0002157
Azerbaijan,1003.28,0.0869,0.0157,1010.13,0.0004581
Bahamas,1367.10,0.0820,0.0163,1374.01,0.0006231
Bahrain,1325.21,0.0256,0.0026,1326.62,0.0006016
Bangladesh,1243.62,0.0518,0.0060,1246.70,0.0005654
Barbados,1367.10,0.0820,0.0163,1374.01,0.0006231
Belarus,972.41,0.0538,0.0073,975.93,0.0004426
Belgium,432.18,0.0093,0.0060,434.20,0.0001969
Benin,1592.01,0.0216,0.0212,1598.87,0.0007251
Bermuda,1367.10,0.0820,0.0163,1374.01,0.0006231
Bolivia,954.77,0.0161,0.0026,955.95,0.0004335
Bosnia-Herzegovina,2147.67,0.0236,0.0340,2158.39,0.0009789
Botswana,3940.34,0.0216,0.0212,3947.20,0.0017901
Brazil,204.48,0.0055,0.0024,205.33,0.0000931
Brunei,1580.99,0.0461,0.0046,1583.51,0.0007181
Bulgaria,1303.16,0.0240,0.0298,1312.64,0.0005953
Cambodia,1748.57,0.0485,0.0146,1754.13,0.0007955
Cameroon,441.00,0.0018,0.0004,441.16,0.0002001
Canada - Alberta,1675.80,0.09,0.02,1684.58,0.0007640
Canada - British Columbia,23.81,0.01,0.00,24.51,0.0000111
Canada - Manitoba,4.19,0.00,0.00,4.26,0.0000019
Canada - New Brunswick,727.65,0.04,0.01,732.04,0.0003320
Canada - Newfoundland and Labrador,81.59,0.00,0.00,82.28,0.0000373
Canada - Northwest Territories,418.95,0.02,0.07,439.21,0.0001992
Canada - Nova Scotia,1499.40,0.04,0.02,1507.07,0.0006835
Canada - Nunavut,1565.55,0.00,0.00,1565.55,0.0007100
